carat,cut,color,clarity,depth,table,x,y,z,price
0.32,Ideal,G,VS2,61.6,54.0,4.4,4.43,2.72,560
0.9,Good,J,SI1,63.2,60.0,6.09,6.12,3.86,2729
0.39,Ideal,H,VVS2,62.1,54.3,4.63,4.69,2.9,853
0.54,Very Good,D,VS1,63.0,54.0,5.19,5.23,3.28,2016
0.31,Ideal,D,VS2,62.1,55.0,4.31,4.32,2.68,734
0.76,Premium,J,VS1,61.1,58.0,5.91,5.85,3.59,2262
0.7,Ideal,G,SI2,62.4,56.0,5.65,5.67,3.53,2092
1.57,Very Good,F,SI1,60.3,57.0,7.55,7.6,4.57,11998
2.38,Premium,G,SI2,62.4,58.0,8.59,8.47,5.32,14648
1.07,Very Good,G,SI2,59.9,59.0,6.61,6.67,3.98,4201
0.31,Premium,I,VVS2,59.4,59.0,4.41,4.44,2.63,544
1.7,Very Good,J,VS2,62.9,58.0,7.55,7.59,4.76,9586
1.51,Premium,E,VS2,62.6,60.0,7.28,7.22,4.54,14844
0.31,Ideal,I,VS1,61.9,54.0,4.38,4.34,2.7,628
0.41,Ideal,D,SI1,60.7,55.0,4.83,4.86,2.94,771
0.74,Ideal,E,SI2,61.9,56.0,5.8,5.83,3.6,2464
0.91,Very Good,H,SI1,63.4,56.0,6.18,6.1,3.89,3771
1.53,Premium,G,SI1,61.7,59.0,7.31,7.4,4.54,9572
1.01,Premium,F,VS2,62.2,60.0,6.37,6.4,3.97,6416
0.41,Premium,E,SI1,61.4,56.0,4.81,4.77,2.94,969
0.53,Ideal,G,VS1,61.8,55.0,5.17,5.22,3.21,1721
0.72,Very Good,I,VS1,64.0,56.0,5.65,5.73,3.65,2048
0.76,Ideal,E,SI1,62.4,57.0,5.83,5.87,3.65,3087
1.52,Very Good,J,VS1,62.2,55.0,7.35,7.42,4.59,8217
0.37,Premium,I,VS1,61.4,59.0,4.55,4.61,2.81,584
1.51,Premium,F,SI1,62.2,58.0,7.32,7.27,4.54,11374
0.71,Ideal,F,VS1,61.5,57.0,5.74,5.71,3.52,2839
0.34,Premium,H,VS1,62.1,58.0,4.49,4.46,2.78,765
0.5,Ideal,D,SI1,61.9,57.0,5.08,5.06,3.14,1654
0.5,Good,G,VVS2,64.1,56.0,5.06,5.02,3.23,1791
0.74,Ideal,I,VS2,61.9,55.0,5.8,5.83,3.6,2997
0.84,Ideal,D,VVS1,62.0,54.0,6.04,6.08,3.76,6399
0.34,Premium,F,SI2,60.0,58.0,4.55,4.58,2.74,447
0.56,Premium,F,VS2,60.5,59.0,5.42,5.33,3.25,1935
0.3,Ideal,E,VVS2,61.6,57.0,4.32,4.29,2.65,1013
0.63,Very Good,D,IF,59.6,59.0,5.55,5.59,3.32,4800
2.05,Premium,H,SI1,60.2,58.0,8.25,8.22,4.96,17521
0.9,Fair,E,SI1,64.9,56.0,6.12,6.18,3.99,3743
0.51,Ideal,D,SI1,60.7,56.0,5.18,5.2,3.15,1884
0.3,Ideal,F,VVS2,62.1,57.0,4.27,4.29,2.66,694
0.7,Very Good,F,SI1,61.5,60.0,5.65,5.7,3.49,2553
0.3,Very Good,F,VVS1,61.8,55.0,4.32,4.35,2.68,783
1.5,Premium,D,SI1,61.6,59.0,7.4,7.3,4.53,13445
0.31,Premium,G,VS2,61.5,60.0,4.31,4.34,2.66,544
0.4,Very Good,E,VS2,64.0,52.0,4.66,4.69,2.99,925
1.53,Ideal,J,VS2,61.4,58.0,7.35,7.43,4.54,7550
0.9,Very Good,H,VS1,62.3,59.0,6.12,6.17,3.83,4592
1.01,Very Good,F,VS2,61.0,59.0,6.39,6.46,3.92,5560
0.33,Ideal,D,VS2,62.1,56.0,4.47,4.42,2.76,1002
1.25,Ideal,H,SI1,62.2,57.0,6.86,6.9,4.28,6661
0.9,Very Good,I,VS2,59.3,59.0,6.27,6.3,3.73,3992
0.4,Ideal,D,VS2,62.3,57.0,4.72,4.75,2.95,982
0.71,Ideal,I,VS1,62.1,56.0,5.68,5.72,3.54,2306
0.37,Premium,E,VS2,60.2,58.0,4.65,4.68,2.81,757
1.12,Good,F,VS2,63.8,57.0,6.61,6.59,4.21,7051
0.36,Very Good,G,VS1,61.2,60.0,4.56,4.59,2.8,726
0.33,Ideal,F,VVS2,62.2,56.0,4.45,4.43,2.76,1040
1.51,Very Good,I,IF,62.2,62.0,7.3,7.33,4.55,12291
1.24,Good,E,SI2,58.5,57.0,7.03,7.1,4.13,5809
0.7,Very Good,G,VS2,63.5,57.0,5.68,5.66,3.6,2331
1.0,Good,H,VS2,57.8,59.0,6.53,6.47,3.75,4166
1.2,Ideal,F,VS2,62.3,56.0,6.79,6.82,4.24,8436
1.58,Ideal,H,SI1,62.5,57.0,7.43,7.39,4.63,10345
1.24,Very Good,I,VS2,60.1,59.0,6.95,7.02,4.2,5783
1.01,Very Good,F,IF,61.9,59.0,6.38,6.45,3.97,10476
0.55,Good,E,VS2,60.3,61.0,5.31,5.37,3.22,1715
0.33,Ideal,F,VS1,61.6,55.0,4.46,4.47,2.76,738
0.52,Ideal,F,VS1,61.3,56.0,5.19,5.22,3.19,2123
0.52,Premium,D,SI2,62.4,59.0,5.15,5.05,3.18,1385
0.3,Premium,F,SI2,62.6,61.0,4.24,4.2,2.64,506
0.7,Ideal,D,VS1,62.5,57.0,5.64,5.68,3.54,3287
0.9,Very Good,D,SI1,60.6,59.0,6.23,6.28,3.79,5040
1.51,Ideal,F,VS1,62.1,56.0,7.34,7.38,4.57,16370
0.32,Very Good,I,VVS1,60.1,61.0,4.4,4.45,2.66,589
1.12,Ideal,F,SI2,61.9,55.0,6.68,6.72,4.15,5046
0.31,Premium,H,VS2,62.4,59.0,4.31,4.34,2.7,489
0.57,Ideal,G,VS2,61.6,57.0,5.32,5.36,3.29,1608
0.32,Ideal,G,VS1,60.5,56.0,4.42,4.44,2.68,645
0.36,Ideal,H,VS2,60.8,56.0,4.61,4.63,2.81,587
0.5,Premium,D,SI2,62.1,57.0,5.12,5.09,3.17,1279
2.01,Good,G,SI2,63.6,59.0,7.97,7.9,5.05,11096
0.61,Premium,F,SI1,62.4,59.0,5.37,5.33,3.34,1547
0.51,Ideal,E,VS2,61.9,56.0,5.12,5.16,3.18,1656
1.04,Premium,G,VS2,62.5,58.0,6.47,6.43,4.03,6290
0.93,Ideal,H,VS2,61.5,57.0,6.3,6.26,3.86,4218
1.08,Very Good,F,SI2,63.3,59.0,6.48,6.44,4.09,4167
0.5,Very Good,G,VS1,61.9,59.0,5.06,5.08,3.14,1603
0.79,Ideal,E,SI1,60.3,56.0,5.99,6.05,3.63,3171
0.31,Ideal,G,IF,61.0,56.0,4.38,4.37,2.67,988
1.01,Ideal,G,VS1,61.9,54.0,6.44,6.48,4.0,7179
0.31,Ideal,F,VS2,60.5,57.0,4.39,4.41,2.66,591
1.11,Premium,G,SI2,62.5,57.0,6.54,6.49,4.07,3804
1.52,Ideal,F,SI1,61.5,55.0,7.44,7.41,4.57,12477
1.25,Premium,J,SI1,62.0,61.0,6.86,6.84,4.25,4200
1.01,Premium,E,VS2,62.0,59.0,6.44,6.46,4.0,6666
1.05,Good,D,SI1,63.7,59.0,6.42,6.38,4.08,6174
0.41,Ideal,G,SI2,61.7,55.0,4.78,4.81,2.96,664
0.34,Very Good,D,SI1,62.8,55.0,4.45,4.5,2.81,626
0.7,Ideal,E,VS2,62.1,55.0,5.7,5.67,3.53,2777
0.34,Ideal,F,VVS1,62.0,56.0,4.45,4.49,2.77,967
0.98,Fair,G,SI1,64.4,56.0,6.33,6.24,4.03,4281
0.5,Premium,H,SI1,60.2,61.0,5.16,5.14,3.1,1141
0.91,Very Good,E,VS2,61.6,58.0,6.18,6.2,3.81,4823
1.7,Very Good,I,VS1,61.9,57.0,7.67,7.64,4.74,12621
0.9,Premium,J,VS2,59.8,62.0,6.24,6.21,3.72,2863
0.9,Very Good,H,VS2,62.6,58.0,6.14,6.22,3.87,3989
0.5,Ideal,I,SI1,61.5,54.0,5.13,5.15,3.16,1008
1.01,Good,F,VS1,61.2,56.0,6.42,6.49,3.95,6825
0.27,Very Good,E,VS1,60.2,58.0,4.19,4.22,2.53,470
0.25,Ideal,G,VS1,62.7,56.0,4.01,4.04,2.52,454
1.77,Ideal,J,SI2,62.0,56.0,7.78,7.74,4.81,7771
0.41,Ideal,E,VVS2,62.3,58.0,4.73,4.78,2.96,1085
0.26,Ideal,F,VVS1,61.6,57.0,4.08,4.1,2.52,599
2.47,Ideal,J,SI2,62.1,57.0,8.64,8.57,5.34,15430
0.3,Ideal,H,VS1,61.4,54.0,4.37,4.33,2.67,675
0.3,Premium,E,VS2,61.8,58.0,4.31,4.36,2.68,658
0.55,Very Good,J,VS2,62.9,54.0,5.23,5.29,3.31,1179
1.61,Ideal,E,SI2,61.6,56.0,7.54,7.62,4.67,9961
0.55,Premium,G,VS2,62.3,56.0,5.29,5.24,3.28,1668
0.51,Very Good,F,VS1,59.9,63.0,5.22,5.16,3.11,1812
0.31,Ideal,E,SI1,62.7,54.0,4.35,4.36,2.73,544
2.39,Very Good,J,VS1,59.6,60.0,8.71,8.77,5.21,17920
0.96,Premium,H,SI1,62.7,58.0,6.27,6.24,3.92,3768
0.37,Very Good,H,SI1,63.2,57.0,4.58,4.54,2.88,684
1.03,Very Good,H,SI2,61.3,56.0,6.5,6.53,3.99,4745
0.4,Ideal,J,VS1,61.5,58.0,4.73,4.76,2.92,633
0.31,Very Good,E,SI1,58.3,60.0,4.48,4.51,2.62,544
0.82,Premium,I,VS2,62.6,59.0,5.91,5.87,3.69,2648
0.76,Ideal,D,SI1,62.8,57.0,5.81,5.85,3.66,3075
0.56,Premium,F,SI1,60.8,58.0,5.31,5.34,3.24,1436
1.12,Ideal,E,VVS2,60.6,57.0,6.77,6.66,4.07,10769
0.3,Very Good,G,VS1,61.2,59.0,4.28,4.32,2.63,605
0.35,Ideal,D,VS2,62.5,56.0,4.51,4.55,2.83,790
1.01,Ideal,G,SI1,61.4,57.0,6.44,6.5,3.97,4653
0.34,Ideal,E,VVS1,61.1,56.0,4.52,4.55,2.77,1208
0.41,Ideal,F,VVS2,61.4,56.0,4.81,4.76,2.94,1192
1.08,Premium,F,VS2,62.8,59.0,6.55,6.47,4.09,7079
1.01,Good,E,SI2,63.3,58.0,6.29,6.35,4.0,4149
0.7,Very Good,H,VS2,60.0,57.0,5.74,5.8,3.46,2335
0.3,Ideal,F,VS2,61.3,55.0,4.32,4.3,2.64,776
0.54,Very Good,H,SI1,63.3,57.0,5.22,5.15,3.28,1240
1.17,Ideal,H,SI1,61.1,57.0,6.77,6.83,4.16,6368
0.63,Ideal,E,VVS1,62.4,56.0,5.48,5.52,3.43,3161
0.35,Premium,E,VS1,60.8,58.0,4.55,4.58,2.78,829
0.3,Premium,D,VS2,61.1,59.0,4.31,4.26,2.62,911
1.65,Premium,G,SI1,61.0,58.0,7.66,7.62,4.66,11864
0.3,Ideal,E,VS2,61.8,55.0,4.34,4.36,2.69,795
3.11,Fair,J,I1,65.9,57.0,9.15,9.02,5.98,9823
0.75,Good,D,SI1,63.6,58.0,5.65,5.77,3.63,3078
1.01,Premium,F,SI2,60.2,61.0,6.49,6.43,3.89,3563
0.6,Ideal,E,VS1,62.2,56.0,5.36,5.44,3.36,2306
0.7,Premium,E,SI1,61.9,60.0,5.67,5.6,3.49,2518
0.4,Ideal,I,VVS2,61.4,56.0,4.76,4.79,2.93,1240
0.51,Very Good,G,VS2,61.2,55.0,5.13,5.16,3.15,1397
1.03,Ideal,G,SI1,62.2,59.0,6.41,6.45,4.0,5684
0.42,Ideal,D,SI1,62.0,55.0,4.84,4.83,3.0,1040
1.51,Very Good,F,VS2,63.7,60.0,7.2,7.24,4.6,13012
1.5,Good,F,VS2,63.6,59.0,7.13,7.22,4.56,10995
0.3,Ideal,D,SI1,61.4,56.0,4.32,4.35,2.66,552
0.56,Ideal,I,VVS1,62.0,57.0,5.33,5.29,3.29,1698
0.37,Premium,D,SI1,62.2,58.0,4.62,4.58,2.86,874
1.2,Very Good,I,IF,59.1,61.0,6.91,6.99,4.11,7141
0.33,Ideal,G,VS2,62.3,57.0,4.43,4.4,2.75,743
0.71,Ideal,F,VVS1,61.4,56.0,5.75,5.78,3.54,5019
0.26,Good,D,VVS2,63.6,56.0,4.06,4.09,2.59,564
2.02,Premium,H,SI1,62.1,61.0,8.06,7.99,4.98,17265
0.3,Ideal,F,VVS1,62.1,54.0,4.32,4.35,2.69,814
0.31,Good,H,SI1,64.0,54.0,4.29,4.31,2.75,402
1.05,Premium,E,VS2,62.1,58.0,6.54,6.5,4.05,7056
0.32,Ideal,E,SI2,62.0,55.0,4.41,4.36,2.72,576
0.51,Premium,E,SI1,61.3,59.0,5.15,5.13,3.15,1624
1.01,Premium,F,SI2,62.6,60.0,6.35,6.37,3.98,4416
0.3,Ideal,D,VS2,60.9,57.0,4.35,4.32,2.64,911
1.73,Very Good,J,VS2,60.9,59.0,7.72,7.76,4.71,9510
0.7,Ideal,D,SI2,62.1,56.0,5.67,5.71,3.53,2575
0.83,Ideal,H,SI2,61.1,59.0,6.05,6.1,3.71,2666
0.37,Ideal,D,SI1,61.9,54.0,4.62,4.65,2.87,643
0.31,Ideal,G,VS1,61.0,56.0,4.4,4.35,2.67,824
1.11,Premium,H,SI2,59.8,60.0,6.75,6.66,4.01,4538
0.71,Ideal,F,VVS1,61.0,56.0,5.77,5.8,3.53,5019
0.31,Good,H,SI1,63.6,57.0,4.32,4.33,2.75,446
0.3,Very Good,I,VS1,61.8,63.0,4.29,4.26,2.64,567
0.55,Premium,E,VS2,61.1,58.0,5.28,5.3,3.23,1928
1.11,Premium,F,SI2,62.2,57.0,6.67,6.61,4.13,5284
2.03,Ideal,G,SI2,61.5,57.0,8.15,8.07,4.99,12154
0.24,Ideal,F,VS2,61.8,57.0,4.02,3.97,2.47,536
1.06,Very Good,H,SI2,62.6,58.0,6.46,6.52,4.06,3958
1.25,Premium,J,VS2,62.0,59.0,6.87,6.9,4.27,5170
0.37,Very Good,G,VS1,61.5,58.0,4.57,4.6,2.82,746
0.32,Premium,G,VS2,62.3,60.0,4.37,4.4,2.73,561
0.59,Ideal,G,VVS1,61.5,57.0,5.36,5.4,3.31,2322
0.71,Ideal,E,VVS2,61.7,56.0,5.78,5.8,3.57,4447
2.01,Good,I,VS2,62.4,62.0,7.91,7.99,4.96,16304
1.38,Ideal,J,SI2,62.6,56.0,7.05,7.16,4.45,5969
0.31,Ideal,D,VVS2,61.2,56.0,4.35,4.37,2.67,804
0.42,Very Good,D,SI1,63.0,59.0,4.77,4.79,3.01,735
0.9,Good,G,SI1,63.7,58.0,6.12,6.09,3.89,3669
0.71,Premium,D,VVS1,59.7,59.0,5.81,5.88,3.49,4482
0.3,Premium,D,VS2,62.0,58.0,4.32,4.29,2.67,911
0.5,Ideal,E,SI1,62.2,57.0,5.05,5.08,3.15,1331
1.01,Very Good,I,SI2,61.4,63.0,6.33,6.38,3.9,3792
0.39,Good,G,VVS2,63.4,57.0,4.62,4.65,2.94,894
0.56,Ideal,G,VVS1,62.0,56.0,5.3,5.28,3.28,2318
1.23,Premium,F,VS2,60.8,59.0,6.94,6.9,4.21,9122
0.53,Premium,I,VS1,62.3,58.0,5.18,5.26,3.25,1286
0.42,Ideal,I,VVS1,62.4,57.0,4.79,4.83,3.0,884
0.3,Ideal,D,SI1,61.0,54.0,4.35,4.34,2.65,709
0.55,Ideal,E,SI1,61.7,54.0,5.26,5.27,3.25,1675
0.53,Ideal,G,SI1,61.0,55.0,5.23,5.26,3.2,1439
0.4,Premium,F,SI1,62.5,59.0,4.71,4.67,2.93,945
0.39,Very Good,G,VS2,60.4,61.0,4.71,4.73,2.85,734
0.3,Premium,G,IF,61.6,60.0,4.29,4.32,2.65,895
1.25,Premium,I,SI2,60.1,60.0,6.99,6.95,4.19,4340
0.81,Very Good,E,SI1,63.8,58.0,5.85,5.97,3.77,2972
0.72,Premium,I,SI1,61.5,59.0,5.78,5.73,3.54,2262
1.2,Premium,D,SI2,62.6,57.0,6.84,6.74,4.25,5551
0.24,Good,E,VVS1,60.8,64.0,3.97,3.99,2.42,492
0.72,Premium,J,SI1,60.9,57.0,5.84,5.78,3.54,1579
0.51,Good,D,SI2,63.8,56.0,5.07,5.09,3.24,1180
0.31,Ideal,E,VS2,61.8,55.0,4.37,4.4,2.71,680
0.4,Ideal,G,VVS2,62.6,53.0,4.72,4.77,2.97,917
1.07,Ideal,F,SI1,61.5,56.0,6.58,6.62,4.06,7286
0.39,Ideal,G,VVS2,61.7,54.2,4.69,4.75,2.91,952
1.25,Ideal,H,SI2,62.8,55.0,6.87,6.82,4.3,5880
1.0,Ideal,F,SI2,61.3,56.0,6.43,6.46,3.95,4372
0.74,Ideal,H,SI1,62.1,56.0,5.77,5.83,3.6,2870
0.35,Ideal,E,VS1,61.6,57.0,4.53,4.5,2.78,1063
0.65,Ideal,F,VVS2,61.3,56.0,5.58,5.61,3.43,2921
0.71,Ideal,D,VS2,61.2,56.0,5.76,5.78,3.53,3135
0.5,Ideal,G,IF,61.5,56.0,5.11,5.14,3.15,2104
1.01,Ideal,G,IF,61.5,58.0,6.44,6.47,3.97,8869
1.59,Premium,F,VS2,60.2,60.0,7.62,7.59,4.58,15602
0.52,Ideal,D,VS2,61.4,56.0,5.16,5.19,3.18,1664
1.07,Premium,G,VS2,62.1,58.0,6.59,6.55,4.08,6471
0.73,Ideal,G,SI1,61.6,57.0,5.81,5.79,3.57,2278
1.52,Very Good,H,SI2,62.7,57.0,7.32,7.36,4.6,8194
2.01,Good,I,SI2,59.1,59.0,8.09,8.14,4.8,12964
0.78,Ideal,G,SI2,61.5,56.0,5.94,5.97,3.66,2706
1.07,Ideal,D,VVS2,60.3,56.0,6.63,6.68,4.01,12545
0.4,Very Good,F,SI1,59.6,58.0,4.81,4.82,2.87,694
0.4,Very Good,D,VS2,60.8,59.0,4.71,4.77,2.88,868
1.51,Good,H,VVS2,63.1,59.0,7.26,7.28,4.59,11826
1.0,Good,E,VS2,63.8,58.0,6.31,6.19,3.99,6272
0.92,Premium,I,SI1,60.4,59.0,6.31,6.24,3.79,2730
0.54,Very Good,E,SI2,62.4,57.7,5.19,5.2,3.25,1278
1.4,Ideal,J,SI1,62.1,57.0,7.17,7.14,4.44,6350
0.91,Ideal,E,SI2,61.8,53.0,6.22,6.3,3.87,3723
0.42,Ideal,H,VVS1,61.1,56.0,4.86,4.9,2.98,1310
0.73,Ideal,H,VS2,62.7,55.0,5.72,5.76,3.6,2793
0.23,Ideal,E,VS2,62.6,57.0,3.92,3.88,2.44,543
0.71,Good,F,IF,62.1,62.0,5.68,5.79,3.56,3393
0.71,Fair,F,SI1,59.8,70.0,5.89,5.72,3.48,2458
1.2,Very Good,F,VS2,62.4,58.0,6.76,6.8,4.23,7114
0.5,Good,E,SI2,63.7,55.0,5.03,5.08,3.22,1077
0.7,Ideal,I,VVS1,61.8,56.0,5.72,5.74,3.54,2492
0.71,Very Good,E,VS1,62.7,57.0,5.69,5.73,3.58,2946
0.72,Very Good,G,VS1,63.5,55.0,5.75,5.68,3.63,2422
0.38,Ideal,D,VS2,62.0,56.0,4.68,4.64,2.89,998
0.31,Ideal,D,VS2,62.2,55.0,4.34,4.31,2.69,942
0.32,Ideal,E,VS2,62.2,55.0,4.36,4.38,2.72,702
1.17,Ideal,G,VS1,59.4,57.0,6.93,6.87,4.1,7155
0.49,Premium,E,SI1,61.5,58.0,5.08,5.06,3.12,1084
0.41,Ideal,E,VS1,61.4,55.0,4.84,4.8,2.96,1076
0.41,Very Good,F,VS2,62.6,58.0,4.75,4.81,2.99,863
0.7,Premium,E,VS2,61.1,60.0,5.71,5.64,3.47,2777
0.5,Good,E,VS2,64.9,59.0,4.89,4.94,3.19,1389
0.24,Ideal,F,VVS2,62.4,55.0,3.99,4.02,2.5,526
0.4,Good,E,SI1,63.5,58.0,4.65,4.67,2.96,687
1.63,Premium,I,SI1,62.0,54.0,7.67,7.6,4.73,9256
0.75,Good,E,SI2,63.8,55.0,5.74,5.8,3.68,2453
1.53,Ideal,I,VS1,62.9,57.0,7.36,7.3,4.61,7968
0.9,Very Good,D,VS2,63.3,59.0,6.12,6.17,3.89,4981
0.39,Ideal,I,VS2,62.9,57.0,4.68,4.64,2.93,834
0.55,Premium,E,VS1,59.6,60.0,5.41,5.36,3.15,2277
1.5,Ideal,I,SI1,62.3,56.0,7.35,7.41,4.6,8371
0.9,Very Good,E,SI1,61.7,58.0,6.15,6.2,3.81,4795
0.36,Premium,D,VS2,61.0,58.0,4.62,4.59,2.81,1094
0.33,Ideal,D,SI2,62.4,57.0,4.42,4.39,2.75,631
1.5,Premium,E,SI2,61.2,59.0,7.41,7.36,4.52,10080
0.9,Premium,F,SI2,58.0,57.0,6.41,6.34,3.7,3704
0.32,Ideal,E,VVS2,62.1,53.0,4.41,4.44,2.75,779
1.02,Very Good,F,VS2,59.9,56.0,6.56,6.6,3.94,6632
0.71,Ideal,E,SI1,61.1,57.0,5.75,5.77,3.52,3128
0.52,Good,G,VS1,63.9,56.0,5.08,5.12,3.26,1576
1.04,Ideal,F,SI2,62.0,54.0,6.49,6.51,4.03,4695
1.11,Ideal,F,VS2,61.6,57.0,6.65,6.67,4.1,7740
0.9,Good,F,SI1,61.3,60.0,6.13,6.18,3.77,3893
1.65,Premium,G,I1,62.0,59.0,7.53,7.57,4.68,6788
0.33,Very Good,G,VVS2,61.2,57.0,4.42,4.44,2.71,752
0.7,Premium,G,VS2,60.8,58.0,5.75,5.8,3.51,2317
0.71,Very Good,F,SI1,60.7,57.0,5.78,5.81,3.52,2088
0.7,Ideal,F,VVS1,62.4,55.0,5.65,5.69,3.54,4341
0.36,Premium,E,SI1,60.8,59.0,4.59,4.56,2.78,810
1.02,Very Good,G,VS2,63.2,57.0,6.41,6.38,4.04,6169
0.33,Ideal,E,VS2,62.6,57.0,4.37,4.42,2.75,723
1.11,Very Good,H,SI1,61.9,58.0,6.63,6.65,4.11,5780
0.89,Ideal,G,VVS2,61.7,55.0,6.22,6.19,3.83,4062
0.55,Premium,G,SI2,60.3,58.0,5.35,5.33,3.22,1186
0.34,Premium,H,VVS1,61.2,60.0,4.5,4.46,2.74,995
1.03,Ideal,F,SI2,61.8,56.0,6.49,6.46,4.0,4454
0.9,Good,H,VS2,64.0,57.0,6.14,6.11,3.92,3538
0.41,Premium,I,VVS2,62.4,60.0,4.73,4.7,2.94,1061
1.0,Good,E,SI2,63.3,56.0,6.3,6.36,4.01,3880
1.01,Very Good,G,VS1,60.7,63.0,6.38,6.4,3.88,6239
0.32,Premium,G,VS2,62.3,58.0,4.41,4.36,2.73,720
0.5,Very Good,J,VS2,63.2,60.0,5.06,5.01,3.18,1059
1.01,Ideal,J,VS2,62.3,55.0,6.4,6.44,4.0,4425
0.31,Ideal,E,VS2,61.5,56.0,4.34,4.37,2.68,680
0.9,Fair,H,I1,66.9,63.0,6.04,5.91,4.0,1758
0.9,Premium,H,SI2,61.1,58.0,6.21,6.13,3.77,2732
0.32,Premium,J,VS2,61.9,58.0,4.35,4.38,2.7,393
1.2,Ideal,D,VS2,61.4,55.0,6.78,6.87,4.19,9424
0.53,Very Good,E,SI1,63.6,57.0,5.12,5.16,3.27,1432
0.35,Premium,G,SI1,60.3,60.0,4.59,4.57,2.76,669
0.4,Ideal,D,SI1,61.3,57.0,4.74,4.79,2.92,726
0.58,Ideal,G,SI2,62.1,54.0,5.36,5.39,3.34,1213
1.5,Good,E,VS2,63.9,58.0,7.2,7.24,4.61,13899
1.39,Premium,H,VS2,62.5,59.0,7.17,7.1,4.46,7006
0.58,Ideal,F,VS2,60.6,56.0,5.41,5.44,3.29,1809
1.02,Premium,F,VS1,60.5,56.0,6.61,6.52,3.97,7197
2.08,Premium,H,SI1,62.6,59.0,8.1,8.13,5.08,17617
1.01,Good,G,SI2,64.0,59.0,6.34,6.31,4.05,3461
0.35,Ideal,I,IF,61.1,56.0,4.56,4.6,2.8,715
0.61,Premium,H,VVS2,60.9,60.0,5.47,5.5,3.34,1752
0.32,Premium,J,VS1,61.9,58.0,4.33,4.39,2.7,421
0.35,Premium,E,SI2,61.0,58.0,4.52,4.56,2.77,491
0.45,Very Good,I,VVS1,63.0,56.0,4.88,4.9,3.08,947
0.78,Ideal,G,SI1,61.0,57.0,5.94,5.99,3.64,2496
1.01,Premium,F,VS2,62.2,60.0,6.4,6.37,3.97,6533
0.3,Premium,D,VS1,61.2,59.0,4.34,4.29,2.64,914
0.32,Ideal,E,VVS2,61.4,54.0,4.44,4.45,2.73,843
0.3,Ideal,G,VS1,61.8,54.0,4.29,4.32,2.66,605
0.9,Very Good,D,SI1,62.8,59.0,6.14,6.18,3.87,4693
2.02,Ideal,H,VS2,61.6,56.0,8.17,8.12,5.02,18050
0.64,Ideal,I,SI2,61.2,55.0,5.54,5.6,3.41,1257
0.51,Premium,F,SI2,58.1,59.0,5.26,5.24,3.05,1052
0.36,Ideal,E,VS2,60.7,56.0,4.63,4.65,2.82,738
0.41,Ideal,D,SI2,62.6,57.0,4.72,4.77,2.97,656
0.31,Good,I,SI1,63.8,55.0,4.31,4.34,2.76,408
0.9,Good,I,VVS1,63.9,63.0,6.04,6.07,3.87,3741
0.41,Premium,F,SI1,62.6,55.0,4.78,4.74,2.98,969
0.8,Very Good,G,VS1,63.5,57.0,5.87,5.91,3.74,3381
2.0,Very Good,J,VS2,60.7,59.0,8.12,8.15,4.94,13113
1.19,Fair,H,I1,65.1,59.0,6.62,6.55,4.29,2892
0.8,Very Good,D,SI2,62.5,59.0,5.88,5.92,3.69,2862
1.05,Ideal,F,SI2,60.9,56.0,6.64,6.56,4.02,4675
0.72,Ideal,F,SI2,61.7,55.0,5.79,5.75,3.56,2298
1.05,Ideal,J,SI1,62.3,56.0,6.47,6.5,4.04,4253
0.32,Very Good,F,VS2,59.5,61.0,4.42,4.46,2.64,645
0.51,Ideal,G,VS1,61.9,56.0,5.1,5.14,3.17,1656
2.02,Ideal,J,VS1,61.9,58.0,8.06,8.1,5.0,15231
1.27,Premium,F,VVS1,62.5,56.0,6.99,6.93,4.35,13320
0.5,Premium,D,SI1,61.2,60.0,5.14,5.09,3.13,1654
0.9,Very Good,F,SI1,63.2,61.0,6.13,6.09,3.86,3881
0.28,Very Good,E,VVS2,64.0,54.0,4.11,4.17,2.65,572
1.1,Ideal,F,SI1,61.6,54.0,6.66,6.69,4.11,6621
1.2,Good,E,SI1,59.9,64.0,6.84,6.79,4.08,6653
0.83,Premium,H,SI1,62.5,59.0,6.02,5.95,3.74,2825
0.31,Ideal,F,VS1,62.1,56.0,4.35,4.32,2.69,872
1.04,Premium,D,SI2,61.0,59.0,6.54,6.51,3.98,4811
1.0,Very Good,E,VVS2,63.0,58.0,6.33,6.36,4.0,9224
0.71,Ideal,H,IF,63.0,57.0,5.68,5.72,3.59,3354
1.51,Ideal,H,VS2,62.5,55.0,7.29,7.34,4.57,10763
1.54,Premium,D,VS2,59.3,59.0,7.61,7.54,4.49,16889
0.31,Very Good,F,VVS2,61.6,56.0,4.34,4.38,2.68,711
0.41,Very Good,E,VVS2,62.8,54.0,4.72,4.77,2.98,1187
1.08,Premium,F,SI1,61.3,57.0,6.63,6.58,4.05,5836
1.52,Fair,H,SI2,64.9,58.0,7.16,7.13,4.64,6129
0.58,Ideal,G,VS1,61.5,55.0,5.36,5.41,3.31,1911
0.72,Premium,E,SI1,62.1,58.0,5.76,5.73,3.57,2857
0.42,Premium,H,SI1,59.5,57.0,5.11,4.78,2.94,898
1.5,Good,E,SI2,63.5,59.0,7.25,7.28,4.61,9281
0.51,Ideal,E,SI2,62.0,56.0,5.12,5.14,3.18,1385
1.01,Fair,E,SI1,64.7,59.0,6.23,6.11,3.99,4181
